x,y,text,input_text,bot_text,intent,entities,action,cluster
4.5676527,25.442984,"Bn vậy shop ơi query_knowledge_base attribute:price action_query_babe_kb Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp> Bn vậy shop ơi",Bn vậy shop ơi,"Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp>",query_knowledge_base,['attribute:price'],action_query_babe_kb,3
-2.9205122,20.29551,"Có trên shopee k shop query_knowledge_base attribute:link action_query_babe_kb Dạ mời bạn tham khảo sản phẩm BẢNG VẼ HOLLA 2 in 1  hiện có tại shop nhé!
<show sp> Có trên shopee k shop",Có trên shopee k shop,"Dạ mời bạn tham khảo sản phẩm BẢNG VẼ HOLLA 2 in 1  hiện có tại shop nhé!
<show sp>",query_knowledge_base,['attribute:link'],action_query_babe_kb,3
-49.549957,2.8647473,https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A send_link url:https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A action_handle_send_link_only Bạn đang tìm kiếm thông tin gì ạ? https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A,https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A,Bạn đang tìm kiếm thông tin gì ạ?,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A']""]",action_handle_send_link_only,1
4.5676494,25.443062,"Bn vậy shop ơi query_knowledge_base attribute:price action_query_babe_kb Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp> Bn vậy shop ơi",Bn vậy shop ơi,"Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp>",query_knowledge_base,['attribute:price'],action_query_babe_kb,3
20.422922,-10.490751,Bảo hành bao lâu ạ query_knowledge_base attribute:guarantee action_query_babe_kb Dạ BẢNG VẼ HOLLA 2 in 1 bảo hành 12 tháng ạ. {chính sách bảo hành chung} Bảo hành bao lâu ạ,Bảo hành bao lâu ạ,"""Dạ BẢNG VẼ HOLLA 2 in 1 bảo hành 12 tháng ạ. {chính sách bảo hành chung}""",query_knowledge_base,['attribute:guarantee'],action_query_babe_kb,0
-51.22155,-0.10947334,https://scontent.xx.fbcdn.net/v/t1.15752-9/92758628_220638542371993_7339655662080622592_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=SFj_QNZGVnIAX_ptxfv&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=db6c1a23b261d135143caa7ddc90103e&oe=5EB60853 send_link url:https://scontent.xx.fbcdn.net/v/t1.15752-9/92758628_220638542371993_7339655662080622592_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=SFj_QNZGVnIAX_ptxfv&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=db6c1a23b261d135143caa7ddc90103e&oe=5EB60853 action_handle_send_link_only Bạn đang tìm kiếm thông tin gì ạ? https://scontent.xx.fbcdn.net/v/t1.15752-9/92758628_220638542371993_7339655662080622592_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=SFj_QNZGVnIAX_ptxfv&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=db6c1a23b261d135143caa7ddc90103e&oe=5EB60853,https://scontent.xx.fbcdn.net/v/t1.15752-9/92758628_220638542371993_7339655662080622592_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=SFj_QNZGVnIAX_ptxfv&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=db6c1a23b261d135143caa7ddc90103e&oe=5EB60853,Bạn đang tìm kiếm thông tin gì ạ?,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92758628_220638542371993_7339655662080622592_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=SFj_QNZGVnIAX_ptxfv&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=db6c1a23b261d135143caa7ddc90103e&oe=5EB60853']""]",action_handle_send_link_only,1
2.81542,25.560518,"Bộ này bn shop query_knowledge_base mention:bộ này, attribute:price action_query_babe_kb Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp> Bộ này bn shop",Bộ này bn shop,"Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp>",query_knowledge_base,"['mention:bộ này', 'attribute:price']",action_query_babe_kb,3
-1.8491343,8.441575,"Sản xuất ở đâu ạ query_knowledge_base attribute:origin action_query_babe_kb Dạ BẢNG VẼ HOLLA 2 in 1 có xuất xứ từ Trung Quốc ạ
(xuất xứ trong phần mô tả sp trên Shopee) Sản xuất ở đâu ạ",Sản xuất ở đâu ạ,"Dạ BẢNG VẼ HOLLA 2 in 1 có xuất xứ từ Trung Quốc ạ
(xuất xứ trong phần mô tả sp trên Shopee)",query_knowledge_base,['attribute:origin'],action_query_babe_kb,3
-52.238262,1.8194767,https://scontent.xx.fbcdn.net/v/t1.15752-9/92812185_1223309388006647_5070003679390597120_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_oc=AQmYZbuIaGFzKqFSSGeVZqs-Bkq4ODR2LY2ON0_mUykpAz_1tUqt1pKa3RZClcUSF3KFtyyW1LGSfsFG-shSXEJz&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=5e9f9b680aa5c98417da25593daab682&oe=5EB812A1 send_link url:https://scontent.xx.fbcdn.net/v/t1.15752-9/92812185_1223309388006647_5070003679390597120_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_oc=AQmYZbuIaGFzKqFSSGeVZqs-Bkq4ODR2LY2ON0_mUykpAz_1tUqt1pKa3RZClcUSF3KFtyyW1LGSfsFG-shSXEJz&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=5e9f9b680aa5c98417da25593daab682&oe=5EB812A1 action_handle_send_link_only Bạn đang tìm kiếm thông tin gì ạ? https://scontent.xx.fbcdn.net/v/t1.15752-9/92812185_1223309388006647_5070003679390597120_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_oc=AQmYZbuIaGFzKqFSSGeVZqs-Bkq4ODR2LY2ON0_mUykpAz_1tUqt1pKa3RZClcUSF3KFtyyW1LGSfsFG-shSXEJz&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=5e9f9b680aa5c98417da25593daab682&oe=5EB812A1,https://scontent.xx.fbcdn.net/v/t1.15752-9/92812185_1223309388006647_5070003679390597120_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_oc=AQmYZbuIaGFzKqFSSGeVZqs-Bkq4ODR2LY2ON0_mUykpAz_1tUqt1pKa3RZClcUSF3KFtyyW1LGSfsFG-shSXEJz&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=5e9f9b680aa5c98417da25593daab682&oe=5EB812A1,Bạn đang tìm kiếm thông tin gì ạ?,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92812185_1223309388006647_5070003679390597120_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_oc=AQmYZbuIaGFzKqFSSGeVZqs-Bkq4ODR2LY2ON0_mUykpAz_1tUqt1pKa3RZClcUSF3KFtyyW1LGSfsFG-shSXEJz&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=5e9f9b680aa5c98417da25593daab682&oe=5EB812A1']""]",action_handle_send_link_only,1
4.154228,24.615026,"Cho t xin giá nhé query_knowledge_base attribute:price action_query_babe_kb Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp> Cho t xin giá nhé",Cho t xin giá nhé,"Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp>",query_knowledge_base,['attribute:price'],action_query_babe_kb,3
14.621518,5.435467,"Làm bằng nhựa à  query_knowledge_base material:bằng nhựa action_query_babe_kb Dạ sản phẩm làm từ nhựa ạ
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp> Làm bằng nhựa à ",Làm bằng nhựa à ,"Dạ sản phẩm làm từ nhựa ạ
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp>",query_knowledge_base,['material:bằng nhựa'],action_query_babe_kb,0
13.964404,11.737283,"Bộ holla vương miện giá tnao bạn query_knowledge_base brand:holla, attribute:price,type:vương miện action_query_babe_kb Sản phẩm  COMBO HOLLA FULL PHIÊN BẢN 2020 MẪU VƯƠNG MIỆN  hiện shop đang có giá: 500,000 VND (giá gốc 500,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp> Bộ holla vương miện giá tnao bạn",Bộ holla vương miện giá tnao bạn,"Sản phẩm  COMBO HOLLA FULL PHIÊN BẢN 2020 MẪU VƯƠNG MIỆN  hiện shop đang có giá: 500,000 VND (giá gốc 500,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp>",query_knowledge_base,"['brand:holla', 'attribute:price','type:vương miện']",action_query_babe_kb,3
10.236071,-0.46284783,"Nước nào sản xuất ạ ? query_knowledge_base attribute:origin action_query_babe_kb Dạ COMBO HOLLA FULL PHIÊN BẢN 2020 MẪU VƯƠNG MIỆN có xuất xứ từ Trung Quốc ạ
(xuất xứ trong phần mô tả sp trên Shopee) Nước nào sản xuất ạ ?",Nước nào sản xuất ạ ?,"Dạ COMBO HOLLA FULL PHIÊN BẢN 2020 MẪU VƯƠNG MIỆN có xuất xứ từ Trung Quốc ạ
(xuất xứ trong phần mô tả sp trên Shopee)",query_knowledge_base,['attribute:origin'],action_query_babe_kb,0
2.417933,-17.021336,"ok shop agree nan utter_agree Dạ,vâng ạ ok shop",ok shop,"Dạ,vâng ạ",agree,,utter_agree,0
-29.178886,-26.135466,"bạn ơi greet nan utter_greet Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ? bạn ơi",bạn ơi,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",greet,,utter_greet,2
2.1224854,-14.384788,"cho mình hỏi want_to_query nan utter_want_to_query Dạ,vâng cho mình hỏi",cho mình hỏi,"Dạ,vâng",want_to_query,,utter_want_to_query,0
8.517134,-3.6871984,"mình muốn mua câu trượt cho bé thì m nên chọn loại nào sau đây ạ
bạn cho m xin gia sp nhe query_knowledge_base object_type:cau_truot, attribute:price query_knowledge_base (Bắt được ảnh gửi tiếp theo mới trả lời user) mình muốn mua câu trượt cho bé thì m nên chọn loại nào sau đây ạ
bạn cho m xin gia sp nhe","mình muốn mua câu trượt cho bé thì m nên chọn loại nào sau đây ạ
bạn cho m xin gia sp nhe",(Bắt được ảnh gửi tiếp theo mới trả lời user),query_knowledge_base,"['object_type:cau_truot', 'attribute:price']",query_knowledge_base,0
7.1003594,25.476278,"https://scontent.xx.fbcdn.net/v/t1.15752-9/93230357_869531593523363_508287694191722496_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=I8CWOIpt__8AX-L7EDQ&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=676159323610b77282663ad8853a2b01&oe=5EB58771 send_link url:https://scontent.xx.fbcdn.net/v/t1.15752-9/93230357_869531593523363_508287694191722496_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=I8CWOIpt__8AX-L7EDQ&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=676159323610b77282663ad8853a2b01&oe=5EB58771 action_handle_send_link_only Sản phẩm  cầu trượt  hiện shop đang có giá: 500,000 VND (giá gốc 500,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp> https://scontent.xx.fbcdn.net/v/t1.15752-9/93230357_869531593523363_508287694191722496_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=I8CWOIpt__8AX-L7EDQ&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=676159323610b77282663ad8853a2b01&oe=5EB58771",https://scontent.xx.fbcdn.net/v/t1.15752-9/93230357_869531593523363_508287694191722496_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=I8CWOIpt__8AX-L7EDQ&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=676159323610b77282663ad8853a2b01&oe=5EB58771,"Sản phẩm  cầu trượt  hiện shop đang có giá: 500,000 VND (giá gốc 500,000 VND).
Bạn tham khảo các sản phẩm sau nhé ạ:
<show sp>",send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/93230357_869531593523363_508287694191722496_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=I8CWOIpt__8AX-L7EDQ&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=676159323610b77282663ad8853a2b01&oe=5EB58771']""]",action_handle_send_link_only,3
19.56861,-9.89944,"Loại này bn vậy bạn query_knowledge_base mention:loại này, attribute:price action_query_babe_kb (Bắt được ảnh gửi tiếp theo mới trả lời user) Loại này bn vậy bạn",Loại này bn vậy bạn,(Bắt được ảnh gửi tiếp theo mới trả lời user),query_knowledge_base,"['mention:loại này', 'attribute:price']",action_query_babe_kb,0
6.196015,25.814981,"https://scontent.xx.fbcdn.net/v/t1.15752-9/93049946_266000034415184_8022889009304829952_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=6H5qmCrlsTMAX_UxJKR&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=56bc309e3fb8f432e5605d1e1fd4a8e2&oe=5EB6DC2D send_link url:https://scontent.xx.fbcdn.net/v/t1.15752-9/93049946_266000034415184_8022889009304829952_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=6H5qmCrlsTMAX_UxJKR&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=56bc309e3fb8f432e5605d1e1fd4a8e2&oe=5EB6DC2D action_query_babe_kb Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo sản phẩm sau nhé ạ:
<show sp> https://scontent.xx.fbcdn.net/v/t1.15752-9/93049946_266000034415184_8022889009304829952_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=6H5qmCrlsTMAX_UxJKR&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=56bc309e3fb8f432e5605d1e1fd4a8e2&oe=5EB6DC2D",https://scontent.xx.fbcdn.net/v/t1.15752-9/93049946_266000034415184_8022889009304829952_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=6H5qmCrlsTMAX_UxJKR&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=56bc309e3fb8f432e5605d1e1fd4a8e2&oe=5EB6DC2D,"Sản phẩm  BẢNG VẼ HOLLA 2 in 1  hiện shop đang có giá: 830,000 VND (giá gốc 1,090,000 VND).
Bạn tham khảo sản phẩm sau nhé ạ:
<show sp>",send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/93049946_266000034415184_8022889009304829952_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=6H5qmCrlsTMAX_UxJKR&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=56bc309e3fb8f432e5605d1e1fd4a8e2&oe=5EB6DC2D']""]",action_query_babe_kb,3
-3.5951793,15.85392,"Có những màu gì ạ ? query_knowledge_base attribute:color action_query_babe_kb Dạ, BẢNG VẼ HOLLA 2 in 1 hiện có các màu: Hồng, Xanh
<Show card tương ứng với các màu của sản phẩm> Có những màu gì ạ ?",Có những màu gì ạ ?,"Dạ, BẢNG VẼ HOLLA 2 in 1 hiện có các màu: Hồng, Xanh
<Show card tương ứng với các màu của sản phẩm>",query_knowledge_base,['attribute:color'],action_query_babe_kb,3
-2.1548295,-2.2329955,"Để mình tham khảo thêm , có gì mình báo sớm finish_conv nan action_finish_conv Dạ,vâng ạ Để mình tham khảo thêm , có gì mình báo sớm","Để mình tham khảo thêm , có gì mình báo sớm","Dạ,vâng ạ",finish_conv,,action_finish_conv,0
